token_address,symbol,decimals
0x9d0e8f5b25384c7310cb8c6ae32c8fbeb645d083,DRV,18
0xfb31f85a8367210b2e4ed2360d2da9dc2d2ccc95,EDEL,18
0xed6e000def95780fb89734c07ee2ce9f6dcaf110,EDGE,18
0x33994a876c342aa8bd25f70961810a7e103218b0,ELITE,18
0xea17df5cf6d172224892b5477a16acb111182478,elizaOS,9
0xa334884bf6b0a066d553d19e507315e839409e62,ERN,18
0xa61beb4a3d02decb01039e378237032b351125b4,EURA,18
0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6
0xcfa3ef56d303ae4faaba0592388f19d7c3399fb4,eUSD,18
0xcad58c7ff0410df842835eb55ba21649bd267d9c,EVAWAT,18
0x2dad3a13ef0c6366220f989157009e501e7938f8,EXTRA,18
0xb33ff54b9f7242ef1593d2c9bcd8f9df46c77935,FAI,18
0x74ccbe53f77b08632ce0cb91d3a545bf6b8e0979,fBOMB,18
0x12063cc18a7096d170e5fc410d8623ad97ee24b3,FREN,18
0x1d75aa781665a189b240ca3d6d3cbb540ec7f02a,FRENS,18
0x60b72c00681a43e423f097ab61cc526a1045b048,FRIEND,8
0x16ee7ecac70d1028e7712751e2ee6ba808a7dd92,FUN,18
0x1c4cca7c5db003824208adda61bd749e55f463a3,GAME,18
0xa6c6502c020d58651a8a1dc044ba7514ac41bcce,Gekko,18
0x1db0c569ebb4a8b57ac01833b9792f526305e062,GENOME,18
0xcd2f22236dd9dfe2356d7c543161d4d260fd9bcb,GHST,18
0x590830dfdf9a3f68afcdde2694773debdf267774,GIZA,18
0x5d67a4afb9fbfc3640e163e93766cf1eaf2f7045,GLD,18
0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,GOLD,18
0xac8da2e2a1a114aafe50c774c588dcd93a028fc8,gSIS,18
0x9bb168e7ff1c0f2fbdd844b4348c755dc7500fe1,HAIRY,18
0xef22cb48b8483df6152e1423b19df5553bbd818b,HEU,18
0x4bfaa776991e85e5f8b1255461cbbd216cfc714f,HOME,18
0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,HOP,18
0xcc7ff230365bd730ee4b352cc2492cedac49383e,hyUSD,18
0x3ee5e23eee121094f1cfc0ccc79d6c809ebd22e5,ION,18
0xbcbae0dd948b404e2157ff395cacb10abfc2b52a,ITX,18
0x777b2839832982b35213063d850848369390ee16,JARVIS,18
0x4154550f4db74dc38d1fe98e1f3f28ed6dad627d,jEUR,18
0x98d0baa52b2d063e780de12f615f963fe8537553,KAITO,18
0x50d2280441372486beecdd328c1854743ebacb07,KellyClaude,18
0x9a26f5433671751c3276a065f57e5a02d2817973,KEYCAT,18
0xdcefd8c8fcc492630b943abcab3429f12ea9fea2,KLIMA,9
0xbe3111856e4aca828593274ea6872f27968c8dd6,KRAV,18
0xc0634090f2fe6c6d75e61be2b949464abb498973,KTA,18
0x00fbac94fec8d4089d3fe979f39454f48c71a65d,kVCM,18
0x60be663a88401c917372b945b7d04cd75e5abd12,LA,18
0x236f9ebe3a40f3b24cea63a880704c712d5ec760,Laari,18
0xf732a566121fa6362e9e0fbdd6d66e5c8c925e49,LITKEY,18
0x9eadbe35f3ee3bf3e28180070c429298a1b02f93,LMTS,18
0xb676f87a6e701f0de8de5ab91b56b66109766db1,LRDS,18
0x55cd6469f597452b5a7536e2cd98fde4c1247ee4,LUNA,18
0xbf1aea8670d2528e08334083616dd9c5f3b087ae,MAI,18
0x7300b37dfdfab110d83290a29dfb31b1740219fe,MAMO,18
0x24fcfc492c1393274b6bcd568ac9e225bec93584,MAVIA,18
0x7750741868cc4a865d9c0f619e6e642fd61f642f,MEM,18
0x93dc5cb35627a759848c7a7f0079ea7b49e435a5,MET,18
0x8e4cbbcc33db6c0a18561fde1f6ba35906d4848b,MEZO,18
0xb1a03eda10342529bbf8eb700a06c60441fef25d,MIGGLES,18
0x4a3a6dd60a34bb2aba60d73b4c88315e9ceb6a3d,MIM,18
0xe1bfa25468af64e366ddafc9d91bcc6c97439a14,MIRROR,18
0x63a522f6e7d5b96f7aebb74d2648545e9e14078d,MOARRR,9
0x2228363213e6e16e8ccc556aa270a05f1f1a4e02,MOCHITOSHI,18
0xc55e93c62874d8100dbd2dfe307edc1036ad5434,mooBIFI,18
0xef0b2ccb53a683fa48799245f376d6a60929f003,MOON,18
0xbaa5cc21fd487b8fcc2f632f3f4e8d37262a0842,MORPHO,18
0xbe449c2ab88b5d9bf33ede32270957d240155597,MR,18
0x7ba6f01772924a82d9626c126347a28299e98c98,msETH,18
0x526728dbc96689597f85ae4cd716d4f7fccbae9d,msUSD,18
0x9cc2fc2f75768b0307925c7935396ec9d94bba44,MTA,18
0xdd468a1ddc392dcdbef6db6e34e89aa338f9f186,MUSD,18
0x9cb41fd9dc6891bae8187029461bfaadf6cc0c69,noice,18
0xb166e8b140d35d9d8226e40c09f757bac5a4d87d,NPC,18
0x00e1724885473b63bce08a9f0a52f35b0979e35a,OATH,18
0xca73ed1815e5915489570014e024b7ebe65de679,ODOS,18
0x7002458b1df59eccb57387bc79ffc7c29e22e6f7,OGN,18
0xab8a1c03b8e4e1d21c8ddd6edf9e07f26e843492,OGRE,18
0x4e200fe2f3efb977d5fd9c430a41531fb04d97b8,ORDER,18
0xa3d1a8deb97b111454b294e2324efad13a9d8396,OVN,18
0xba0dda8762c24da9487f5fa026a9b64b695a07ea,OX,18
0xeff2a458e464b07088bdb441c21a42ab4b61e07e,PDT,18
0xd85c31854c2b0fb40aaa9e2fc4da23c21f829d46,PING,18
0xfa980ced6895ac314e7de34ef1bfae90a5add21b,PRIME,18
0x30c7235866872213f68cb1f08c37cb9eccb93452,PROMPT,18
0x373056181b981ddf44b8e561770ce5269d648dd4,PSHARE,18
0xc528eb57779e66babef0c7b3fdb17c73afdb1505,PTOMB,18
0xd3fdcb837dafdb7c9c3ebd48fe22a53f6dd3d7d7,QI,18
0xafb2820316e7bc5ef78d295ab9b8bb2257534576,R,18
0x1f924db207529d3035116eb8f67a1b62a6af8769,RA,18
0xd722e55c1d9d9fa0021a5215cbb904b92b3dc5d4,RDNT,18
0x1f16e03c1a5908818f47f6ee7bb16690b40d0671,RECALL,18
0xe642657e4f43e6dcf0bd73ef24008394574dee28,RECORD,18
0x6b2504a03ca4d43d0d73776f6ad46dab2f2a4cfd,REI,18
0x6e2c81b6c2c0e02360f00a0da694e489acb0b05e,RFL,18
0x1c7a460413dd4e964f96d8dfc56e7223ce88cd85,SEAM,18
0xeab49138ba2ea6dd776220fe26b7b8e446638956,SEND,18
0xe3eb37ce83fac09570482a9a86a193b94849e558,SERAPH,18
0xd1917629b3e6a72e6772aab5dbe58eb7fa3c2f33,SEXY,18
0x595675dcbe5d2ad1f4d7b910c50567c0f9230633,SHIP,18
0x868fced65edbf0056c4163515dd840e9f287a4c3,SIGN,18
0x161e113b8e9bbaefb846f73f31624f6f9607bd44,SIMMI,18
0x768be13e1680b5ebe0024c42c896e3db59ec0149,SKI,9
0x22e6966b799c4d5b13be962e1d117b56327fda66,SNX,18
0x311935cd80b76769bf2ecc9d8ab7635b2139cf82,SOL,9
0x22a2488fe295047ba13bd8cccdbc8361dbd8cf7c,SONNE,18
0x50da645f148798f68ef2d7db7c1cb22a6819bb2c,SPX,8
0xc19669a405067927865b40ea045a2baabbbe57f5,STAR,18
0xf7a0dd3317535ec4f4d29adf9d620b3d8d5d5069,stERN,18
0xe3b53af74a4bf62ae5511055290838050bf764df,STG,18
0x194f360d130f2393a5e9f3117a6a1b78abea1624,SUMR,18
0xdbfefd2e8460a6ee4955a68582f85708baea60a3,superOETHb,18
0x2b6a85cd35d15691357eea61d88cb3f401a92fc3,SURV,18
0x11dc28d01984079b7efe7763b533e6ed9e3722b9,SYND,18
0x26f3901ac8a79c50fb0d8289c74f0d09adc42e29,T,18
0xf544251d25f3d243a36b07e7e7962a678f952691,TAROT,18
0xd830162411497faff8734ce4200c547faf2feae2,TAX,18
0x236aa50979d5f3de3bd1eeb40e81137f22ab794b,tBTC,18
0xef6b19d71b342eae33773346b05ead8f0966bd42,TEST,18
0x08cdd613fe9d0470c8fa6400d4df3d1ba0940844,testqs01,18
0x85e510539bc94144fd4b9e00335dc9f27e6d0f64,TESTR,18
0x3d5c55467326ca3fdb304d8706e02e957dbb0dc6,TESTS,18
0x587971e263f098418abeef0e46c6499d4da63822,TESTS,18
0xf34e0cff046e154cafcae502c7541b9e5fd8c249,THALES,18
0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,TIBBIR,18
0x78b3c724a2f663d11373c4a1978689271895256f,TKN,18
0x5b5dee44552546ecea05edea01dcd7be7aa6144a,TN100x,18
0x8544fe9d190fd7ec52860abbf45088e81ee24a8c,TOSHI,18
0xb53be0be88ba245b5086e558d00ad56ee7344556,TOSHI,18
0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4,TOSHI,18
0xf7c1cefcf7e1dd8161e00099facd3e1db9e528ee,TOWER,18
0x00000000a22c618fd6b4d7e9a335c4b96b189a38,TOWNS,18
0xc27468b12ffa6d714b1b5fbc87ef403f38b82ad4,TRUMP,18
0xca080dd32eeaa87711db63543c9712b08795926a,TST,18
0x0d97f261b1e88845184f678e2d1e7a98d9fd38de,TYBG,18
0x6b4712ae9797c199edd44f897ca09bc57628a1cf,UNIDX,18
0x5b2193fdc451c1f847be09ca9d13a4bf60f8c86b,UP,18
0xb79dd08ea68a908a97220c76d19a6aa9cbde4376,USD+,6
0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,USDbC,6
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,6
0x5e06ea564efcb3158a85dbf0b9e017cb003ff56f,USDM,18
0x820c137fa70c8691f0e44dc420a5e53c168921dc,USDS,18
0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,USDT,6
0x04d5ddf5f3a8939889f11e97f8c4bb48317f1938,USDz,18
0xf2f934fc4deb2348908c465fe085e96f2b87776c,USHARE,18
0x1eec4c6b8c633659a38315c87ecba8515db8662e,USHARE,18
0x9b8df6e244526ab5f6e6400d331db28c8fdddb55,uSOL,18
0xb0505e5a99abd03d94a1169e638b78edfed26ea4,uSUI,18
0xc142171b138db17a1b7cb999c44526094a4dae05,USX,18
0x990e3950a1f218ad02807d7b39f36665e96abcdf,UTOMB,18
0x065ec3c3152a17d9a30cdc640013676cb49c7e0d,UTOMB,18
0x9fabf6fca68bd4e0d910b6464721832a098d8a5d,UU,18
0xf909b746ce48dede23c09b05b3fa27754e768bd2,vAMM-WETH/BSHARE,18
0x767a739d1a152639e9ea1d8c1bd55fdc5b217d7f,VEIL,18
0xa749de6c28262b7ffbc5de27dc845dd7ecd2b358,VFY,18
0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,VIRTUAL,18
0x703f1803d2c6028b64d6c4969ff096e72d015e06,VMX,18
0x44d05c7bf593b4cc4322088ffca35613079e8d37,VMX,18
0x025f99977db78317a4eba606998258b502bb256f,VPPE,18
0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf,VVV,18
0x23471e7250bcd7ee21df3f39ed6151931d1e076b,WAI,18
0x4e74d4db6c0726ccded4656d0bce448876bb4c7a,wBLT,18
0xff8adec2221f9f4d8dfbafa6b9a297d17603493d,WELL,18
0xa88594d404727625a9437c3f886c7643872296ae,WELL,18
0x7f62ac1e974d65fab4a81821ca6af659a5f46298,WELS,18
0x4200000000000000000000000000000000000006,WETH,18
0x27dcb425c7005dd7558f9583797eda39a8d70abd,WETH,18
0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,wstETH,18
0x9483ab65847a447e36d21af1cab8c87e9712ff93,wUSDR,9
0x8901cb2e82cc95c01e42206f8d1f417fe53e7af0,YFX,18
0xf43eb8de897fbc7f2502483b2bef7bb9ea179229,ZEN,18
0x1111111111166b7fe7bd91427724b487980afc69,ZORA,18
0x6985884c4392d348587b19cb9eaaf157f13271cd,ZRO,18
