date,token_address,token_symbol,price_usd
2026-03-26,0xf4d97f2da56e8c3098f3a8d538db630a2606a024,DIEM,893.4787534466
2026-03-26,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,1.1561082239
2026-03-26,0x74ccbe53f77b08632ce0cb91d3a545bf6b8e0979,fBOMB,0.0118497611
2026-03-26,0x00fbac94fec8d4089d3fe979f39454f48c71a65d,kVCM,0.0743878562
2026-03-26,0xb676f87a6e701f0de8de5ab91b56b66109766db1,LRDS,0.0266993464
2026-03-26,0xbaa5cc21fd487b8fcc2f632f3f4e8d37262a0842,MORPHO,1.7084528052
2026-03-26,0x7ba6f01772924a82d9626c126347a28299e98c98,msETH,2159.0867683611
2026-03-26,0x526728dbc96689597f85ae4cd716d4f7fccbae9d,msUSD,0.9971943466
2026-03-26,0x5b2193fdc451c1f847be09ca9d13a4bf60f8c86b,UP,0.0563125818
2026-03-26,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,0.9998493112
2026-03-26,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,VIRTUAL,0.7220646681
2026-03-26,0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf,VVV,6.6178269033
2026-03-26,0x4200000000000000000000000000000000000006,WETH,2166.4720713795
2026-03-26,0xf43eb8de897fbc7f2502483b2bef7bb9ea179229,ZEN,5.663739286
2026-03-26,0x1111111111166b7fe7bd91427724b487980afc69,ZORA,0.0163458554
2026-03-19,0x940181a94a35a4569e4529a3cdfb74e38fd98631,AERO,0.3296287693
2026-03-19,0x22af33fe49fd1fa80c7149773dde5890d3c76f3b,BNKR,0.0004642312
2026-03-19,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,71264.0551112463
2026-03-19,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,CLAWD,0.0000458384
2026-03-19,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,1.1460215407
2026-03-19,0xb33ff54b9f7242ef1593d2c9bcd8f9df46c77935,FAI,0.0068957527
2026-03-19,0x74ccbe53f77b08632ce0cb91d3a545bf6b8e0979,fBOMB,0.0119744938
2026-03-19,0x50d2280441372486beecdd328c1854743ebacb07,KellyClaude,0.000050836
2026-03-19,0x00fbac94fec8d4089d3fe979f39454f48c71a65d,kVCM,0.0562402129
2026-03-19,0xb676f87a6e701f0de8de5ab91b56b66109766db1,LRDS,0.0291113997
2026-03-19,0xbaa5cc21fd487b8fcc2f632f3f4e8d37262a0842,MORPHO,1.7441554063
2026-03-19,0x7ba6f01772924a82d9626c126347a28299e98c98,msETH,2197.5181694305
2026-03-19,0x526728dbc96689597f85ae4cd716d4f7fccbae9d,msUSD,0.9975008969
2026-03-19,0x6b2504a03ca4d43d0d73776f6ad46dab2f2a4cfd,REI,0.0230763225
2026-03-19,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,0.9999445424
2026-03-19,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,VIRTUAL,0.7375581404
2026-03-19,0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf,VVV,5.8903103328
2026-03-19,0x4200000000000000000000000000000000000006,WETH,2203.9455286419
2026-03-19,0x1111111111166b7fe7bd91427724b487980afc69,ZORA,0.0170832881
2026-03-12,0x940181a94a35a4569e4529a3cdfb74e38fd98631,AERO,0.3408316242
2026-03-12,0x22af33fe49fd1fa80c7149773dde5890d3c76f3b,BNKR,0.0004843252
2026-03-12,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,70205.8666866639
2026-03-12,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,CLAWD,0.0000608384
2026-03-12,0xf4d97f2da56e8c3098f3a8d538db630a2606a024,DIEM,723.479297442
2026-03-12,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,1.1545893696
2026-03-12,0x00fbac94fec8d4089d3fe979f39454f48c71a65d,kVCM,0.0379430496
2026-03-12,0xb676f87a6e701f0de8de5ab91b56b66109766db1,LRDS,0.0373068195
2026-03-12,0x93dc5cb35627a759848c7a7f0079ea7b49e435a5,MET,-1
2026-03-12,0xbaa5cc21fd487b8fcc2f632f3f4e8d37262a0842,MORPHO,1.9334630151
2026-03-12,0x7ba6f01772924a82d9626c126347a28299e98c98,msETH,2044.5204580023
2026-03-12,0x526728dbc96689597f85ae4cd716d4f7fccbae9d,msUSD,0.995502389
2026-03-12,0x6b2504a03ca4d43d0d73776f6ad46dab2f2a4cfd,REI,0.0251559365
2026-03-12,0x11dc28d01984079b7efe7763b533e6ed9e3722b9,SYND,0.043794592
2026-03-12,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,0.9999085358
2026-03-12,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,VIRTUAL,0.6972422673
2026-03-12,0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf,VVV,5.8262731038
2026-03-12,0x4200000000000000000000000000000000000006,WETH,2051.3884650538
2026-03-12,0xf43eb8de897fbc7f2502483b2bef7bb9ea179229,ZEN,5.4346170999
2026-03-12,0x1111111111166b7fe7bd91427724b487980afc69,ZORA,0.017271615
2026-03-05,0x940181a94a35a4569e4529a3cdfb74e38fd98631,AERO,0.3646570418
2026-03-05,0x22af33fe49fd1fa80c7149773dde5890d3c76f3b,BNKR,0.0005390393
2026-03-05,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,72635.4733033316
2026-03-05,0x1bc0c42215582d5a085795f4badbac3ff36d1bcb,CLANKER,28.8655683074
2026-03-05,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,CLAWD,0.0000727972
2026-03-05,0xf4d97f2da56e8c3098f3a8d538db630a2606a024,DIEM,621.0026306261
2026-03-05,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,1.1627104621
2026-03-05,0x74ccbe53f77b08632ce0cb91d3a545bf6b8e0979,fBOMB,0.0126086138
2026-03-05,0xb676f87a6e701f0de8de5ab91b56b66109766db1,LRDS,0.0347781812
2026-03-05,0xbaa5cc21fd487b8fcc2f632f3f4e8d37262a0842,MORPHO,1.8680627804
2026-03-05,0x7ba6f01772924a82d9626c126347a28299e98c98,msETH,2113.5983180874
2026-03-05,0x526728dbc96689597f85ae4cd716d4f7fccbae9d,msUSD,0.9944068411
2026-03-05,0x6b2504a03ca4d43d0d73776f6ad46dab2f2a4cfd,REI,0.0331221974
2026-03-05,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,0.9999898339
2026-03-05,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,VIRTUAL,0.7492509715
2026-03-05,0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf,VVV,6.4696664785
2026-03-05,0x4200000000000000000000000000000000000006,WETH,2125.3083580959
2026-03-05,0xf43eb8de897fbc7f2502483b2bef7bb9ea179229,ZEN,5.8067806579
2026-03-05,0x1111111111166b7fe7bd91427724b487980afc69,ZORA,0.0173539495
2026-02-26,0x940181a94a35a4569e4529a3cdfb74e38fd98631,AERO,0.3672890959
2026-02-26,0x22af33fe49fd1fa80c7149773dde5890d3c76f3b,BNKR,0.0005975859
2026-02-26,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,67846.0390166842
2026-02-26,0xcbd06e5a2b0c65597161de254aa074e489deb510,cbDOGE,0.1001595166
2026-02-26,0x1bc0c42215582d5a085795f4badbac3ff36d1bcb,CLANKER,30.6783740337
2026-02-26,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,CLAWD,0.0000757601
2026-02-26,0xf4d97f2da56e8c3098f3a8d538db630a2606a024,DIEM,533.8772518333
2026-02-26,0xfb31f85a8367210b2e4ed2360d2da9dc2d2ccc95,EDEL,0.0112233662
2026-02-26,0xb676f87a6e701f0de8de5ab91b56b66109766db1,LRDS,0.0284896177
2026-02-26,0x93dc5cb35627a759848c7a7f0079ea7b49e435a5,MET,-1
2026-02-26,0xbaa5cc21fd487b8fcc2f632f3f4e8d37262a0842,MORPHO,1.8204886089
2026-02-26,0x7ba6f01772924a82d9626c126347a28299e98c98,msETH,2042.193062328
2026-02-26,0x526728dbc96689597f85ae4cd716d4f7fccbae9d,msUSD,0.9939978756
2026-02-26,0xca73ed1815e5915489570014e024b7ebe65de679,ODOS,0.001251343
2026-02-26,0x6b2504a03ca4d43d0d73776f6ad46dab2f2a4cfd,REI,0.0304366284
2026-02-26,0x5b2193fdc451c1f847be09ca9d13a4bf60f8c86b,UP,0.0482147639
2026-02-26,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,0.9998992436
2026-02-26,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,VIRTUAL,0.6892114891
